HUD frame time nsec:,6963000

Range Index,Elapsed Time, First Event,Last Event
0,40640,4,4
1,1536,25,25
2,1664,31,31
3,1728,37,37
4,1696,43,43
5,1312,49,49
6,1664,55,55
7,1696,61,61
8,1696,67,67
9,1664,73,73
10,1696,79,79
11,1696,85,85
12,1696,91,91
13,1696,97,97
14,1696,103,103
15,1696,109,109
16,1728,115,115
17,1664,121,121
18,1696,127,127
19,1920,133,133
20,1696,139,139
21,1664,145,145
22,1920,151,151
23,1728,157,157
24,1696,163,163
25,1728,169,169
26,1472,175,175
27,1344,181,181
28,1728,187,187
29,1600,193,193
30,1664,199,199
31,1472,205,205
32,1696,211,211
33,1696,217,217
34,1696,223,223
35,1344,229,229
36,1792,235,235
37,1728,241,241
38,1792,247,247
39,1696,253,253
40,1696,259,259
41,1696,265,265
42,1696,271,271
43,1696,277,277
44,1696,283,283
45,1728,289,289
46,1728,295,295
47,1728,301,301
48,1728,307,307
49,1728,313,313
50,1696,319,319
51,1760,325,325
52,1728,331,331
53,1696,337,337
54,1696,343,343
55,1696,349,349
56,1696,355,355
57,1696,361,361
58,1376,367,367
59,1728,373,373
60,1696,379,379
61,1696,385,385
62,1696,391,391
63,1696,397,397
64,1728,403,403
65,1696,409,409
66,1696,415,415
67,1696,421,421
68,1696,427,427
69,1344,433,433
70,1664,439,439
71,1696,445,445
72,1696,451,451
73,1696,457,457
74,1696,463,463
75,1696,469,469
76,1696,475,475
77,1696,481,481
78,1728,487,487
79,1664,493,493
80,1696,499,499
81,1696,505,505
82,1696,511,511
83,77600,517,517
84,126048,523,523
85,5120,525,525
86,20224,553,553
87,1696,585,585
88,1728,595,595
89,1728,605,605
90,1696,615,615
91,1696,625,625
92,1696,635,635
93,1312,645,645
94,1696,655,655
95,1696,665,665
96,1696,675,675
97,1696,685,685
98,1696,695,695
99,1696,705,705
100,1696,715,715
101,1696,725,725
102,1696,735,735
103,1696,745,745
104,1696,755,755
105,1696,765,765
106,1696,775,775
107,1696,810,810
108,1696,826,826
109,1696,842,842
110,1696,858,858
111,1696,874,874
112,2831744,879,879

Range Index,Elapsed Time, First Event,Last Event
0,28896,4,4
1,1728,25,25
2,1728,31,31
3,1696,37,37
4,1696,43,43
5,1664,49,49
6,1696,55,55
7,1312,61,61
8,1696,67,67
9,1728,73,73
10,1696,79,79
11,1696,85,85
12,1696,91,91
13,1696,97,97
14,1696,103,103
15,1696,109,109
16,1728,115,115
17,1696,121,121
18,1728,127,127
19,1728,133,133
20,1696,139,139
21,1824,145,145
22,1696,151,151
23,1696,157,157
24,1344,163,163
25,1312,169,169
26,1504,175,175
27,1728,181,181
28,2016,187,187
29,1760,193,193
30,1696,199,199
31,1888,205,205
32,1728,211,211
33,1696,217,217
34,1728,223,223
35,1696,229,229
36,1696,235,235
37,1696,241,241
38,1696,247,247
39,1696,253,253
40,1728,259,259
41,1696,265,265
42,1728,271,271
43,1504,277,277
44,1728,283,283
45,1760,289,289
46,1728,295,295
47,1696,301,301
48,1696,307,307
49,1664,313,313
50,1728,319,319
51,1696,325,325
52,1696,331,331
53,1728,337,337
54,1696,343,343
55,1760,349,349
56,1728,355,355
57,1696,361,361
58,1760,367,367
59,1760,373,373
60,1760,379,379
61,1696,385,385
62,1696,391,391
63,1728,397,397
64,1728,403,403
65,1760,409,409
66,1664,415,415
67,1696,421,421
68,1728,427,427
69,1664,433,433
70,1696,439,439
71,1344,445,445
72,1696,451,451
73,1696,457,457
74,1696,463,463
75,1696,469,469
76,1696,475,475
77,1696,481,481
78,1696,487,487
79,1696,493,493
80,1696,499,499
81,1696,505,505
82,1696,511,511
83,68000,517,517
84,125920,523,523
85,5088,525,525
86,15904,553,553
87,1728,585,585
88,1728,595,595
89,1696,605,605
90,1696,615,615
91,1696,625,625
92,1696,635,635
93,1696,645,645
94,1696,655,655
95,1696,665,665
96,1696,675,675
97,1696,685,685
98,1696,695,695
99,1696,705,705
100,1696,715,715
101,1728,725,725
102,1696,735,735
103,1696,745,745
104,1696,755,755
105,1696,765,765
106,1696,775,775
107,1696,810,810
108,1280,826,826
109,1696,842,842
110,1696,858,858
111,1696,874,874
112,3279488,879,879
