HUD frame time nsec:,6915000

Range Index,Elapsed Time, First Event,Last Event
0,27232,4,4
1,1920,25,25
2,1440,31,31
3,1504,37,37
4,1728,43,43
5,1696,49,49
6,1696,55,55
7,1696,61,61
8,1696,67,67
9,1696,73,73
10,1696,79,79
11,1728,85,85
12,1696,91,91
13,1696,97,97
14,1696,103,103
15,1728,109,109
16,1696,115,115
17,1696,121,121
18,1696,127,127
19,1696,133,133
20,1696,139,139
21,1696,145,145
22,1696,151,151
23,1696,157,157
24,1664,163,163
25,1664,169,169
26,1856,175,175
27,1696,181,181
28,1408,187,187
29,1888,193,193
30,1728,199,199
31,1728,205,205
32,1440,211,211
33,1312,217,217
34,1920,223,223
35,1696,229,229
36,1696,235,235
37,1760,241,241
38,1696,247,247
39,1696,253,253
40,1696,259,259
41,1728,265,265
42,1664,271,271
43,3168,277,277
44,1760,283,283
45,2080,289,289
46,1696,295,295
47,2144,301,301
48,2240,307,307
49,1760,313,313
50,1696,319,319
51,1696,325,325
52,1728,331,331
53,1696,337,337
54,1696,343,343
55,1728,349,349
56,1728,355,355
57,1696,361,361
58,1696,367,367
59,1312,373,373
60,1696,379,379
61,1312,385,385
62,1344,391,391
63,1728,397,397
64,1760,403,403
65,1696,409,409
66,1696,415,415
67,1728,421,421
68,1664,427,427
69,1664,433,433
70,1696,439,439
71,1696,445,445
72,1696,451,451
73,1728,457,457
74,1376,463,463
75,1696,469,469
76,1728,475,475
77,1696,481,481
78,1696,487,487
79,1664,493,493
80,1696,499,499
81,1696,505,505
82,1696,511,511
83,130400,517,517
84,126048,523,523
85,4960,525,525
86,34688,549,549
87,13280,558,558
88,1696,591,591
89,1696,601,601
90,1696,611,611
91,1696,621,621
92,1696,631,631
93,1696,641,641
94,1312,651,651
95,1696,661,661
96,1696,671,671
97,1696,681,681
98,1696,691,691
99,1696,701,701
100,1696,711,711
101,1696,721,721
102,1696,731,731
103,1696,741,741
104,1696,751,751
105,1696,761,761
106,1696,771,771
107,1696,781,781
108,1696,816,816
109,1696,832,832
110,1696,848,848
111,1696,864,864
112,1696,880,880
113,3789984,885,885

Range Index,Elapsed Time, First Event,Last Event
0,31072,4,4
1,1728,25,25
2,1696,31,31
3,1696,37,37
4,1696,43,43
5,1696,49,49
6,1696,55,55
7,1696,61,61
8,1696,67,67
9,1696,73,73
10,1696,79,79
11,1728,85,85
12,1696,91,91
13,1696,97,97
14,1696,103,103
15,1696,109,109
16,1696,115,115
17,1664,121,121
18,1632,127,127
19,1824,133,133
20,1728,139,139
21,1696,145,145
22,1824,151,151
23,1728,157,157
24,1728,163,163
25,1504,169,169
26,1536,175,175
27,1376,181,181
28,1696,187,187
29,1760,193,193
30,1696,199,199
31,1984,205,205
32,1728,211,211
33,1696,217,217
34,1376,223,223
35,1728,229,229
36,1696,235,235
37,1696,241,241
38,1696,247,247
39,1728,253,253
40,1696,259,259
41,1696,265,265
42,1696,271,271
43,1696,277,277
44,1696,283,283
45,1728,289,289
46,1728,295,295
47,1728,301,301
48,1696,307,307
49,1696,313,313
50,1728,319,319
51,1696,325,325
52,1696,331,331
53,1696,337,337
54,1696,343,343
55,1696,349,349
56,1696,355,355
57,1664,361,361
58,1376,367,367
59,1728,373,373
60,1344,379,379
61,1376,385,385
62,1568,391,391
63,1696,397,397
64,1696,403,403
65,1696,409,409
66,1696,415,415
67,1696,421,421
68,1696,427,427
69,1696,433,433
70,1696,439,439
71,1696,445,445
72,1696,451,451
73,1696,457,457
74,1696,463,463
75,1696,469,469
76,1728,475,475
77,1696,481,481
78,1696,487,487
79,1696,493,493
80,1696,499,499
81,1696,505,505
82,1696,511,511
83,75552,517,517
84,125760,523,523
85,4768,525,525
86,19008,549,549
87,4928,558,558
88,1728,591,591
89,1664,601,601
90,1696,611,611
91,1696,621,621
92,1664,631,631
93,1696,641,641
94,1696,651,651
95,1664,661,661
96,1696,671,671
97,1696,681,681
98,1696,691,691
99,1696,701,701
100,1728,711,711
101,1696,721,721
102,1696,731,731
103,1728,741,741
104,1696,751,751
105,1696,761,761
106,1728,771,771
107,1312,781,781
108,1696,816,816
109,1696,832,832
110,1696,848,848
111,1696,864,864
112,1696,880,880
113,2966848,885,885
