HUD frame time nsec:,6942000

Range Index,Elapsed Time, First Event,Last Event
0,14368,4,4
1,1664,35,35
2,1696,39,39
3,1344,43,43
4,1536,47,47
5,1344,51,51
6,1728,55,55
7,1696,59,59
8,1728,63,63
9,1696,67,67
10,1696,71,71
11,1696,75,75
12,1696,79,79
13,1696,83,83
14,1696,87,87
15,1696,91,91
16,1664,95,95
17,1696,99,99
18,1696,103,103
19,1696,107,107
20,1696,111,111
21,1696,115,115
22,1696,119,119
23,1696,123,123
24,1696,127,127
25,1696,131,131
26,1696,135,135
27,1696,139,139
28,1568,143,143
29,1696,147,147
30,1696,151,151
31,1696,155,155
32,1696,159,159
33,53664,163,163
34,1696,167,167
35,1696,171,171
36,1696,175,175
37,3648,179,179
38,5472,183,183
39,10752,187,187
40,10912,191,191
41,7584,195,195
42,5536,199,199
43,4160,203,203
44,61696,207,207
45,1344,211,211
46,1696,215,215
47,1696,219,219
48,1696,223,223
49,1728,227,227
50,1696,231,231
51,1696,235,235
52,1696,239,239
53,1696,243,243
54,1696,247,247
55,1696,251,251
56,1728,255,255
57,1696,259,259
58,1696,263,263
59,1696,267,267
60,1696,271,271
61,1696,275,275
62,1728,279,279
63,1696,283,283
64,1696,287,287
65,1696,291,291
66,1696,295,295
67,1728,299,299
68,1696,303,303
69,1728,307,307
70,1728,311,311
71,1696,315,315
72,1696,319,319
73,1696,323,323
74,1696,327,327
75,1696,331,331
76,1344,335,335
77,1696,339,339
78,1696,343,343
79,1696,347,347
80,1696,351,351
81,1664,355,355
82,1664,359,359
83,97248,363,363
84,121728,367,367
85,16640,369,369
86,94752,396,396
87,3393568,401,401

Range Index,Elapsed Time, First Event,Last Event
0,14528,4,4
1,1632,35,35
2,1696,39,39
3,1376,43,43
4,1472,47,47
5,1376,51,51
6,1760,55,55
7,1696,59,59
8,1696,63,63
9,1696,67,67
10,1696,71,71
11,1696,75,75
12,1696,79,79
13,1696,83,83
14,1696,87,87
15,1696,91,91
16,1696,95,95
17,1664,99,99
18,1664,103,103
19,1664,107,107
20,1664,111,111
21,1664,115,115
22,1344,119,119
23,1696,123,123
24,1664,127,127
25,1696,131,131
26,1696,135,135
27,1536,139,139
28,1696,143,143
29,1696,147,147
30,1696,151,151
31,1696,155,155
32,1696,159,159
33,54016,163,163
34,1696,167,167
35,1696,171,171
36,1696,175,175
37,3744,179,179
38,5472,183,183
39,10240,187,187
40,11040,191,191
41,7616,195,195
42,5248,199,199
43,4416,203,203
44,61600,207,207
45,1696,211,211
46,1728,215,215
47,1696,219,219
48,1696,223,223
49,1696,227,227
50,1696,231,231
51,1696,235,235
52,1728,239,239
53,1696,243,243
54,1696,247,247
55,1728,251,251
56,1696,255,255
57,1696,259,259
58,1696,263,263
59,1696,267,267
60,1696,271,271
61,1728,275,275
62,1696,279,279
63,1696,283,283
64,1696,287,287
65,1696,291,291
66,1728,295,295
67,1728,299,299
68,1696,303,303
69,1696,307,307
70,1408,311,311
71,1696,315,315
72,1312,319,319
73,1312,323,323
74,1344,327,327
75,1440,331,331
76,1696,335,335
77,1696,339,339
78,1696,343,343
79,1344,347,347
80,1312,351,351
81,1344,355,355
82,1696,359,359
83,102016,363,363
84,121760,367,367
85,16416,369,369
86,95008,396,396
87,3781472,401,401

Range Index,Elapsed Time, First Event,Last Event
0,13632,4,4
1,1376,35,35
2,1792,39,39
3,1408,43,43
4,1728,47,47
5,1344,51,51
6,1664,55,55
7,1728,59,59
8,1728,63,63
9,1728,67,67
10,1696,71,71
11,1696,75,75
12,1696,79,79
13,1696,83,83
14,1696,87,87
15,1728,91,91
16,1664,95,95
17,1664,99,99
18,1696,103,103
19,1696,107,107
20,1664,111,111
21,1664,115,115
22,1696,119,119
23,1664,123,123
24,1728,127,127
25,1696,131,131
26,1696,135,135
27,1696,139,139
28,1696,143,143
29,1696,147,147
30,1696,151,151
31,1696,155,155
32,1696,159,159
33,52288,163,163
34,1696,167,167
35,1696,171,171
36,1696,175,175
37,1696,179,179
38,2016,183,183
39,6016,187,187
40,7072,191,191
41,6240,195,195
42,4640,199,199
43,1760,203,203
44,64416,207,207
45,1696,211,211
46,1632,215,215
47,1696,219,219
48,1536,223,223
49,1440,227,227
50,1376,231,231
51,1696,235,235
52,1696,239,239
53,1344,243,243
54,1696,247,247
55,1408,251,251
56,1344,255,255
57,1408,259,259
58,1696,263,263
59,1376,267,267
60,1344,271,271
61,1344,275,275
62,1696,279,279
63,1696,283,283
64,1376,287,287
65,1728,291,291
66,1376,295,295
67,1312,299,299
68,1728,303,303
69,1376,307,307
70,1408,311,311
71,1376,315,315
72,1696,319,319
73,1312,323,323
74,1344,327,327
75,1664,331,331
76,1696,335,335
77,1696,339,339
78,1664,343,343
79,1696,347,347
80,1696,351,351
81,1664,355,355
82,1696,359,359
83,103232,363,363
84,121632,367,367
85,16480,369,369
86,98560,396,396
87,4076320,401,401
