HUD frame time nsec:,6937000

Range Index,Elapsed Time, First Event,Last Event
0,27872,4,4
1,1888,25,25
2,1376,31,31
3,1536,37,37
4,1728,43,43
5,1728,49,49
6,1696,55,55
7,1696,61,61
8,1696,67,67
9,1696,73,73
10,1696,79,79
11,1696,85,85
12,1696,91,91
13,1696,97,97
14,1696,103,103
15,1696,109,109
16,1696,115,115
17,1696,121,121
18,1696,127,127
19,1696,133,133
20,2528,139,139
21,2816,145,145
22,1664,151,151
23,1696,157,157
24,1696,163,163
25,1664,169,169
26,1696,175,175
27,1728,181,181
28,1696,187,187
29,1696,193,193
30,1312,199,199
31,1696,205,205
32,1696,211,211
33,116768,217,217
34,1472,223,223
35,8672,229,229
36,1696,235,235
37,1696,241,241
38,1696,247,247
39,3488,253,253
40,1696,259,259
41,1696,265,265
42,1696,271,271
43,1696,277,277
44,191136,283,283
45,1696,289,289
46,2080,295,295
47,1728,301,301
48,3392,307,307
49,1696,313,313
50,1760,319,319
51,1696,325,325
52,1696,331,331
53,4096,337,337
54,1344,343,343
55,1696,349,349
56,57024,355,355
57,1696,361,361
58,1696,367,367
59,1696,373,373
60,1696,379,379
61,1760,385,385
62,2400,391,391
63,4032,397,397
64,1696,403,403
65,1696,409,409
66,1696,415,415
67,1696,421,421
68,1696,427,427
69,1696,433,433
70,1856,439,439
71,1696,445,445
72,1696,451,451
73,1696,457,457
74,1696,463,463
75,1696,469,469
76,1696,475,475
77,1696,481,481
78,1760,487,487
79,1728,493,493
80,4416,499,499
81,1376,505,505
82,1696,511,511
83,179712,517,517
84,125408,523,523
85,4928,525,525
86,95840,549,549
87,81024,558,558
88,1696,591,591
89,1696,601,601
90,1696,611,611
91,1696,621,621
92,1696,631,631
93,1696,641,641
94,1696,651,651
95,1472,661,661
96,1696,671,671
97,1696,681,681
98,1696,691,691
99,1696,701,701
100,1696,711,711
101,1696,721,721
102,1664,731,731
103,1696,741,741
104,1344,751,751
105,1696,761,761
106,1696,771,771
107,1696,781,781
108,1696,816,816
109,1696,832,832
110,1696,848,848
111,1696,864,864
112,1696,880,880
113,3012224,886,886
