HUD frame time nsec:,6953000

Range Index,Elapsed Time, First Event,Last Event
0,27200,4,4
1,1696,25,25
2,1472,31,31
3,1728,37,37
4,1728,43,43
5,1696,49,49
6,1728,55,55
7,1696,61,61
8,1696,67,67
9,1696,73,73
10,1696,79,79
11,1728,85,85
12,1696,91,91
13,1696,97,97
14,1728,103,103
15,1696,109,109
16,1696,115,115
17,1696,121,121
18,1664,127,127
19,1696,133,133
20,1728,139,139
21,1728,145,145
22,1664,151,151
23,1856,157,157
24,1696,163,163
25,1696,169,169
26,1984,175,175
27,1696,181,181
28,1728,187,187
29,1472,193,193
30,1376,199,199
31,1696,205,205
32,1728,211,211
33,1696,217,217
34,1728,223,223
35,1408,229,229
36,1504,235,235
37,1696,241,241
38,1696,247,247
39,1696,253,253
40,2592,259,259
41,1696,265,265
42,1920,271,271
43,1728,277,277
44,1728,283,283
45,1696,289,289
46,1696,295,295
47,1696,301,301
48,1696,307,307
49,1696,313,313
50,1696,319,319
51,1728,325,325
52,1472,331,331
53,1728,337,337
54,1728,343,343
55,1728,349,349
56,1728,355,355
57,1696,361,361
58,1696,367,367
59,1696,373,373
60,1696,379,379
61,1728,385,385
62,1696,391,391
63,1376,397,397
64,1728,403,403
65,1408,409,409
66,1312,415,415
67,1696,421,421
68,1728,427,427
69,1696,433,433
70,1760,439,439
71,1504,445,445
72,1696,451,451
73,1696,457,457
74,1696,463,463
75,1696,469,469
76,1696,475,475
77,1696,481,481
78,1696,487,487
79,1728,493,493
80,1696,499,499
81,1664,505,505
82,1696,511,511
83,115488,517,517
84,124992,523,523
85,4960,525,525
86,32896,549,549
87,17952,558,558
88,1696,591,591
89,1728,601,601
90,1664,611,611
91,1696,621,621
92,1728,631,631
93,1696,641,641
94,1696,651,651
95,1696,661,661
96,1344,671,671
97,1696,681,681
98,1696,691,691
99,1696,701,701
100,1696,711,711
101,1696,721,721
102,1696,731,731
103,1696,741,741
104,1696,751,751
105,1696,761,761
106,1696,771,771
107,1696,781,781
108,1696,816,816
109,1696,832,832
110,1728,848,848
111,1664,864,864
112,1696,880,880
113,3432192,885,885

Range Index,Elapsed Time, First Event,Last Event
0,29184,4,4
1,1728,25,25
2,1696,31,31
3,1696,37,37
4,1696,43,43
5,1696,49,49
6,1664,55,55
7,1696,61,61
8,1664,67,67
9,1696,73,73
10,1696,79,79
11,1664,85,85
12,1696,91,91
13,1504,97,97
14,1696,103,103
15,1760,109,109
16,1696,115,115
17,1728,121,121
18,1632,127,127
19,1792,133,133
20,1728,139,139
21,1664,145,145
22,1696,151,151
23,1696,157,157
24,1824,163,163
25,1472,169,169
26,1728,175,175
27,1376,181,181
28,1696,187,187
29,1376,193,193
30,1888,199,199
31,1888,205,205
32,1696,211,211
33,1696,217,217
34,1696,223,223
35,1696,229,229
36,1728,235,235
37,1696,241,241
38,1664,247,247
39,1728,253,253
40,1696,259,259
41,1664,265,265
42,1696,271,271
43,1504,277,277
44,1280,283,283
45,1280,289,289
46,1280,295,295
47,1696,301,301
48,1696,307,307
49,1728,313,313
50,1728,319,319
51,1664,325,325
52,1728,331,331
53,1664,337,337
54,1760,343,343
55,1728,349,349
56,1696,355,355
57,1728,361,361
58,1696,367,367
59,1728,373,373
60,1696,379,379
61,1696,385,385
62,1696,391,391
63,1696,397,397
64,1760,403,403
65,1696,409,409
66,1696,415,415
67,1728,421,421
68,1664,427,427
69,1376,433,433
70,1696,439,439
71,1696,445,445
72,1728,451,451
73,1696,457,457
74,1696,463,463
75,1696,469,469
76,1696,475,475
77,1696,481,481
78,1344,487,487
79,1696,493,493
80,1664,499,499
81,1696,505,505
82,1664,511,511
83,89216,517,517
84,126592,523,523
85,4928,525,525
86,18208,549,549
87,3808,558,558
88,1696,591,591
89,1696,601,601
90,1696,611,611
91,1728,621,621
92,1696,631,631
93,1696,641,641
94,1696,651,651
95,1696,661,661
96,1696,671,671
97,1696,681,681
98,1696,691,691
99,1696,701,701
100,1696,711,711
101,1696,721,721
102,1696,731,731
103,1312,741,741
104,1696,751,751
105,1696,761,761
106,1696,771,771
107,1696,781,781
108,1696,816,816
109,1696,832,832
110,1696,848,848
111,1696,864,864
112,1696,880,880
113,3508352,885,885
