HUD frame time nsec:,6939000

Range Index,Elapsed Time, First Event,Last Event
0,26528,3,3
1,2272,23,23
2,1792,27,27
3,1664,31,31
4,1696,35,35
5,1696,39,39
6,2944,43,43
7,6976,47,47
8,7104,51,51
9,1728,55,55
10,1696,59,59
11,1696,63,63
12,46240,67,67
13,56416,71,71
14,55936,75,75
15,56352,79,79
16,57024,83,83
17,56768,87,87
18,55968,91,91
19,55904,95,95
20,1696,99,99
21,1696,103,103
22,1696,107,107
23,1312,111,111
24,1696,115,115
25,1696,119,119
26,6560,123,123
27,7520,127,127
28,7520,131,131
29,7648,135,135
30,7616,139,139
31,7712,143,143
32,1664,147,147
33,1664,151,151
34,144608,155,155
35,1696,159,159
36,1696,163,163
37,1696,167,167
38,1696,171,171
39,1696,175,175
40,1728,179,179
41,1696,183,183
42,1696,187,187
43,1728,191,191
44,1344,195,195
45,5312,199,199
46,39200,203,203
47,38592,207,207
48,38944,211,211
49,38208,215,215
50,38272,219,219
51,37824,223,223
52,40224,227,227
53,37888,231,231
54,38656,235,235
55,1344,239,239
56,1696,243,243
57,1696,247,247
58,1696,251,251
59,1696,255,255
60,1696,259,259
61,1696,263,263
62,1696,267,267
63,15008,271,271
64,18464,275,275
65,18848,279,279
66,18560,283,283
67,1696,287,287
68,1696,291,291
69,1728,295,295
70,132576,299,299
71,143264,303,303
72,143296,307,307
73,143040,311,311
74,142016,315,315
75,143584,319,319
76,142816,323,323
77,143168,327,327
78,142688,331,331
79,143488,335,335
80,1696,339,339
81,1696,343,343
82,1696,347,347
83,165408,351,351
84,121696,355,355
85,1633536,360,360
