HUD frame time nsec:,6948000

Range Index,Elapsed Time, First Event,Last Event
0,26336,4,4
1,1504,25,25
2,1888,31,31
3,1440,37,37
4,1536,43,43
5,1728,49,49
6,1760,55,55
7,1888,61,61
8,1696,67,67
9,1696,73,73
10,1696,79,79
11,1696,85,85
12,1696,91,91
13,1696,97,97
14,1696,103,103
15,1696,109,109
16,1600,115,115
17,1696,121,121
18,1664,127,127
19,1728,133,133
20,1696,139,139
21,1696,145,145
22,1728,151,151
23,1696,157,157
24,1696,163,163
25,1696,169,169
26,1696,175,175
27,1696,181,181
28,1696,187,187
29,1696,193,193
30,1696,199,199
31,1728,205,205
32,1760,211,211
33,353888,217,217
34,1696,223,223
35,45952,229,229
36,1984,235,235
37,1696,241,241
38,1696,247,247
39,22368,253,253
40,33568,259,259
41,2272,265,265
42,1952,271,271
43,1792,277,277
44,1568,283,283
45,1760,289,289
46,1696,295,295
47,1696,301,301
48,1472,307,307
49,1696,313,313
50,1696,319,319
51,1696,325,325
52,1696,331,331
53,1760,337,337
54,1696,343,343
55,1696,349,349
56,1696,355,355
57,1696,361,361
58,1696,367,367
59,1632,373,373
60,1696,379,379
61,1696,385,385
62,1696,391,391
63,1696,397,397
64,1696,403,403
65,1696,409,409
66,1728,415,415
67,1696,421,421
68,1696,427,427
69,1696,433,433
70,1696,439,439
71,1728,445,445
72,1664,451,451
73,1728,457,457
74,1696,463,463
75,1696,469,469
76,1696,475,475
77,1696,481,481
78,1376,487,487
79,1696,493,493
80,1696,499,499
81,1696,505,505
82,1696,511,511
83,159072,517,517
84,119200,523,523
85,134880,525,525
86,155040,553,553
87,1984,585,585
88,1888,595,595
89,1984,605,605
90,1696,615,615
91,1696,625,625
92,10432,635,635
93,9856,645,645
94,3232,655,655
95,1376,665,665
96,1696,675,675
97,1696,685,685
98,1504,695,695
99,1728,705,705
100,1696,715,715
101,1696,725,725
102,1952,735,735
103,1696,745,745
104,31392,755,755
105,4704,765,765
106,1696,775,775
107,13728,810,810
108,17888,826,826
109,19392,842,842
110,17792,858,858
111,18048,874,874
112,3198560,879,879
