HUD frame time nsec:,6947000

Range Index,Elapsed Time, First Event,Last Event
0,30208,4,4
1,2208,27,27
2,1760,31,31
3,1568,35,35
4,1472,39,39
5,1760,43,43
6,1600,47,47
7,1696,51,51
8,1696,55,55
9,1376,59,59
10,1696,63,63
11,1696,67,67
12,1696,71,71
13,1792,75,75
14,1696,79,79
15,1696,83,83
16,1696,87,87
17,1792,91,91
18,1696,95,95
19,1696,99,99
20,1696,103,103
21,1696,107,107
22,1696,111,111
23,1696,115,115
24,1696,119,119
25,1664,123,123
26,1696,127,127
27,1696,131,131
28,1696,135,135
29,1696,139,139
30,1696,143,143
31,1728,147,147
32,1696,151,151
33,256384,155,155
34,1696,159,159
35,22400,163,163
36,1696,167,167
37,1696,171,171
38,1728,175,175
39,21856,179,179
40,25632,183,183
41,3328,187,187
42,1376,191,191
43,1536,195,195
44,18912,199,199
45,1280,203,203
46,1280,207,207
47,5152,211,211
48,4160,215,215
49,1728,219,219
50,1696,223,223
51,1696,227,227
52,1696,231,231
53,1696,235,235
54,1760,239,239
55,1696,243,243
56,121824,247,247
57,84640,251,251
58,1696,255,255
59,1696,259,259
60,1728,263,263
61,1696,267,267
62,1728,271,271
63,1664,275,275
64,1728,279,279
65,1696,283,283
66,1696,287,287
67,1696,291,291
68,1696,295,295
69,1696,299,299
70,1760,303,303
71,1728,307,307
72,1728,311,311
73,1696,315,315
74,1728,319,319
75,1696,323,323
76,1696,327,327
77,1728,331,331
78,1696,335,335
79,1696,339,339
80,1696,343,343
81,1696,347,347
82,1728,351,351
83,162528,355,355
84,121504,359,359
85,114496,379,379
86,3206368,384,384
