HUD frame time nsec:,6973000

Range Index,Elapsed Time, First Event,Last Event
0,30240,4,4
1,2016,27,27
2,1536,31,31
3,1568,35,35
4,1696,39,39
5,1728,43,43
6,1728,47,47
7,1728,51,51
8,1696,55,55
9,1696,59,59
10,1696,63,63
11,1696,67,67
12,1696,71,71
13,1696,75,75
14,1696,79,79
15,1696,83,83
16,1696,87,87
17,1696,91,91
18,1696,95,95
19,1696,99,99
20,1696,103,103
21,1696,107,107
22,1696,111,111
23,1696,115,115
24,1664,119,119
25,1696,123,123
26,1696,127,127
27,1696,131,131
28,1696,135,135
29,1696,139,139
30,1696,143,143
31,1696,147,147
32,1664,151,151
33,681088,155,155
34,9920,159,159
35,1696,163,163
36,1696,167,167
37,1696,171,171
38,1696,175,175
39,31264,179,179
40,33024,183,183
41,8096,187,187
42,1696,191,191
43,1728,195,195
44,119424,199,199
45,1696,203,203
46,1728,207,207
47,3328,211,211
48,1696,215,215
49,1696,219,219
50,1696,223,223
51,2240,227,227
52,2304,231,231
53,1984,235,235
54,1696,239,239
55,3392,243,243
56,169248,247,247
57,132384,251,251
58,1696,255,255
59,1696,259,259
60,1696,263,263
61,1696,267,267
62,1696,271,271
63,1696,275,275
64,1696,279,279
65,1696,283,283
66,1696,287,287
67,1696,291,291
68,1696,295,295
69,1696,299,299
70,1696,303,303
71,1696,307,307
72,1696,311,311
73,1696,315,315
74,1696,319,319
75,1696,323,323
76,1728,327,327
77,1696,331,331
78,1696,335,335
79,1696,339,339
80,14720,343,343
81,1696,347,347
82,1696,351,351
83,28608,355,355
84,121024,359,359
85,90464,382,382
86,2274688,387,387
