HUD frame time nsec:,6949000

Range Index,Elapsed Time, First Event,Last Event
0,14496,4,4
1,1376,35,35
2,1408,39,39
3,1344,43,43
4,1696,47,47
5,1600,51,51
6,1696,55,55
7,1696,59,59
8,1760,63,63
9,1696,67,67
10,1312,71,71
11,1696,75,75
12,1728,79,79
13,1696,83,83
14,1696,87,87
15,1696,91,91
16,1696,95,95
17,1696,99,99
18,1664,103,103
19,1696,107,107
20,1696,111,111
21,1696,115,115
22,1696,119,119
23,1696,123,123
24,1696,127,127
25,1696,131,131
26,1408,135,135
27,1312,139,139
28,1312,143,143
29,1696,147,147
30,1696,151,151
31,1696,155,155
32,1696,159,159
33,56992,163,163
34,1696,167,167
35,1696,171,171
36,1696,175,175
37,1728,179,179
38,2944,183,183
39,9760,187,187
40,9760,191,191
41,7136,195,195
42,4800,199,199
43,4960,203,203
44,59360,207,207
45,1696,211,211
46,1696,215,215
47,1760,219,219
48,1696,223,223
49,1696,227,227
50,1696,231,231
51,1760,235,235
52,1696,239,239
53,1728,243,243
54,1728,247,247
55,1728,251,251
56,1760,255,255
57,1760,259,259
58,1728,263,263
59,1728,267,267
60,1632,271,271
61,1728,275,275
62,1760,279,279
63,1728,283,283
64,1696,287,287
65,1696,291,291
66,1696,295,295
67,1696,299,299
68,1728,303,303
69,1760,307,307
70,1696,311,311
71,1696,315,315
72,1696,319,319
73,1696,323,323
74,1696,327,327
75,1696,331,331
76,1696,335,335
77,1696,339,339
78,1728,343,343
79,1696,347,347
80,1696,351,351
81,1696,355,355
82,1696,359,359
83,96064,363,363
84,122464,367,367
85,15872,369,369
86,97376,396,396
87,3829600,401,401
