HUD frame time nsec:,7055000

Range Index,Elapsed Time, First Event,Last Event
0,25024,4,4
1,1888,23,23
2,1696,27,27
3,1696,31,31
4,1696,35,35
5,1696,39,39
6,1728,43,43
7,1696,47,47
8,1696,51,51
9,1696,55,55
10,1664,59,59
11,1696,63,63
12,1312,67,67
13,1696,71,71
14,1664,75,75
15,1696,79,79
16,1696,83,83
17,1696,87,87
18,1696,91,91
19,1696,95,95
20,1696,99,99
21,1728,103,103
22,1696,107,107
23,1696,111,111
24,1728,115,115
25,1664,119,119
26,1696,123,123
27,1664,127,127
28,1664,131,131
29,1696,135,135
30,1696,139,139
31,1696,143,143
32,1696,147,147
33,271456,151,151
34,1728,155,155
35,1696,159,159
36,1696,163,163
37,1696,167,167
38,1696,171,171
39,11616,175,175
40,16704,179,179
41,2176,183,183
42,1632,187,187
43,1344,191,191
44,72640,195,195
45,1696,199,199
46,1728,203,203
47,1728,207,207
48,1696,211,211
49,1696,215,215
50,1696,219,219
51,1696,223,223
52,1696,227,227
53,1696,231,231
54,1696,235,235
55,1696,239,239
56,47392,243,243
57,49088,247,247
58,1696,251,251
59,1664,255,255
60,1696,259,259
61,1696,263,263
62,1696,267,267
63,1696,271,271
64,1696,275,275
65,1728,279,279
66,1696,283,283
67,1728,287,287
68,1728,291,291
69,1632,295,295
70,1728,299,299
71,1696,303,303
72,1696,307,307
73,1696,311,311
74,1696,315,315
75,1728,319,319
76,1696,323,323
77,1696,327,327
78,1728,331,331
79,1696,335,335
80,1696,339,339
81,1664,343,343
82,1664,347,347
83,1664,351,351
84,56032,355,355
85,2548512,360,360
