HUD frame time nsec:,6936000

Range Index,Elapsed Time, First Event,Last Event
0,39840,4,4
1,1696,35,35
2,1696,39,39
3,1696,43,43
4,1696,47,47
5,1696,51,51
6,1696,55,55
7,1696,59,59
8,1696,63,63
9,1696,67,67
10,1696,71,71
11,1696,75,75
12,1696,79,79
13,1856,83,83
14,1696,87,87
15,2080,91,91
16,1792,95,95
17,1664,99,99
18,1664,103,103
19,3168,107,107
20,1696,111,111
21,1696,115,115
22,1664,119,119
23,1952,123,123
24,1696,127,127
25,1696,131,131
26,1696,135,135
27,1728,139,139
28,1696,143,143
29,1696,147,147
30,1696,151,151
31,1696,155,155
32,1856,159,159
33,127648,163,163
34,1696,167,167
35,1728,171,171
36,1696,175,175
37,1696,179,179
38,1696,183,183
39,1824,187,187
40,1696,191,191
41,1696,195,195
42,1664,199,199
43,1728,203,203
44,1696,207,207
45,1696,211,211
46,1696,215,215
47,1696,219,219
48,1696,223,223
49,1696,227,227
50,1728,231,231
51,1664,235,235
52,1696,239,239
53,1664,243,243
54,1696,247,247
55,1696,251,251
56,1696,255,255
57,1376,259,259
58,1664,263,263
59,1696,267,267
60,1696,271,271
61,1696,275,275
62,1696,279,279
63,1696,283,283
64,1664,287,287
65,1696,291,291
66,1696,295,295
67,1728,299,299
68,1664,303,303
69,1664,307,307
70,1664,311,311
71,1696,315,315
72,1696,319,319
73,1696,323,323
74,1664,327,327
75,1664,331,331
76,1696,335,335
77,1344,339,339
78,1664,343,343
79,1664,347,347
80,1696,351,351
81,1376,355,355
82,1696,359,359
83,109312,363,363
84,121152,367,367
85,24000,373,373
86,162848,404,404
87,3553440,409,409
