HUD frame time nsec:,7045000

Range Index,Elapsed Time, First Event,Last Event
0,89120,4,4
1,1696,35,35
2,2784,39,39
3,1696,43,43
4,1696,47,47
5,1728,51,51
6,1696,55,55
7,1696,59,59
8,1696,63,63
9,1696,67,67
10,1696,71,71
11,1696,75,75
12,1696,79,79
13,1792,83,83
14,1728,87,87
15,1696,91,91
16,1696,95,95
17,1696,99,99
18,1696,103,103
19,1696,107,107
20,1728,111,111
21,1696,115,115
22,2080,119,119
23,1472,123,123
24,1696,127,127
25,1696,131,131
26,1696,135,135
27,1696,139,139
28,1696,143,143
29,1760,147,147
30,3360,151,151
31,1696,155,155
32,1696,159,159
33,332608,163,163
34,1696,167,167
35,1696,171,171
36,2080,175,175
37,1664,179,179
38,1696,183,183
39,2592,187,187
40,7840,191,191
41,1696,195,195
42,1824,199,199
43,1312,203,203
44,5696,207,207
45,1408,211,211
46,1312,215,215
47,1728,219,219
48,1312,223,223
49,1376,227,227
50,1344,231,231
51,1344,235,235
52,1440,239,239
53,1376,243,243
54,1408,247,247
55,1664,251,251
56,1376,255,255
57,1344,259,259
58,1376,263,263
59,1728,267,267
60,1344,271,271
61,1440,275,275
62,1728,279,279
63,1376,283,283
64,1440,287,287
65,1376,291,291
66,1696,295,295
67,1696,299,299
68,1728,303,303
69,1728,307,307
70,1696,311,311
71,1760,315,315
72,1728,319,319
73,1696,323,323
74,1696,327,327
75,1696,331,331
76,1376,335,335
77,1696,339,339
78,1696,343,343
79,1696,347,347
80,1696,351,351
81,1664,355,355
82,1696,359,359
83,116832,363,363
84,121184,367,367
85,15328,369,369
86,160224,407,407
87,2852544,408,408
