HUD frame time nsec:,6930000

Range Index,Elapsed Time, First Event,Last Event
0,86368,4,4
1,1664,35,35
2,3008,39,39
3,1696,43,43
4,1696,47,47
5,1696,51,51
6,1696,55,55
7,1696,59,59
8,1696,63,63
9,1696,67,67
10,1696,71,71
11,1696,75,75
12,1728,79,79
13,1664,83,83
14,1696,87,87
15,1696,91,91
16,1696,95,95
17,1664,99,99
18,1824,103,103
19,1696,107,107
20,1856,111,111
21,1984,115,115
22,1664,119,119
23,1696,123,123
24,1696,127,127
25,1696,131,131
26,1664,135,135
27,1696,139,139
28,1696,143,143
29,1760,147,147
30,1728,151,151
31,1696,155,155
32,1664,159,159
33,326752,163,163
34,1696,167,167
35,1664,171,171
36,2240,175,175
37,1664,179,179
38,1696,183,183
39,1696,187,187
40,8384,191,191
41,1696,195,195
42,1696,199,199
43,1376,203,203
44,2976,207,207
45,1376,211,211
46,1408,215,215
47,1696,219,219
48,1376,223,223
49,1376,227,227
50,1696,231,231
51,1344,235,235
52,1376,239,239
53,1344,243,243
54,1696,247,247
55,1344,251,251
56,1344,255,255
57,1696,259,259
58,1376,263,263
59,1312,267,267
60,1728,271,271
61,1376,275,275
62,1344,279,279
63,1696,283,283
64,1696,287,287
65,1696,291,291
66,1696,295,295
67,1696,299,299
68,1696,303,303
69,1664,307,307
70,1696,311,311
71,1696,315,315
72,1696,319,319
73,1728,323,323
74,1696,327,327
75,1696,331,331
76,1696,335,335
77,1664,339,339
78,1696,343,343
79,1408,347,347
80,1696,351,351
81,1664,355,355
82,1696,359,359
83,116416,363,363
84,121664,367,367
85,3136,369,369
86,11168,400,400
87,3149792,405,405
