HUD frame time nsec:,6946000

Range Index,Elapsed Time, First Event,Last Event
0,27424,4,4
1,1536,25,25
2,1792,31,31
3,1376,37,37
4,1472,43,43
5,1504,49,49
6,1728,55,55
7,2112,61,61
8,1696,67,67
9,1696,73,73
10,1728,79,79
11,1664,85,85
12,1696,91,91
13,1728,97,97
14,1696,103,103
15,1728,109,109
16,1696,115,115
17,1696,121,121
18,1696,127,127
19,1696,133,133
20,1696,139,139
21,1696,145,145
22,1696,151,151
23,1344,157,157
24,1728,163,163
25,1696,169,169
26,1664,175,175
27,1696,181,181
28,1696,187,187
29,1696,193,193
30,1696,199,199
31,1696,205,205
32,1280,211,211
33,499968,217,217
34,1696,223,223
35,34112,229,229
36,1696,235,235
37,1728,241,241
38,3104,247,247
39,1472,253,253
40,1824,259,259
41,1664,265,265
42,1472,271,271
43,1696,277,277
44,1888,283,283
45,1760,289,289
46,1696,295,295
47,1696,301,301
48,1696,307,307
49,1664,313,313
50,1696,319,319
51,1728,325,325
52,1696,331,331
53,1696,337,337
54,1696,343,343
55,1696,349,349
56,1696,355,355
57,1760,361,361
58,1408,367,367
59,1728,373,373
60,1696,379,379
61,1696,385,385
62,1696,391,391
63,1728,397,397
64,1696,403,403
65,1728,409,409
66,1696,415,415
67,1728,421,421
68,1696,427,427
69,1760,433,433
70,1696,439,439
71,1696,445,445
72,1696,451,451
73,1696,457,457
74,1728,463,463
75,1696,469,469
76,1408,475,475
77,1696,481,481
78,1696,487,487
79,1696,493,493
80,1696,499,499
81,1696,505,505
82,1696,511,511
83,115776,517,517
84,124768,523,523
85,4960,525,525
86,132096,549,549
87,125408,558,558
88,1696,591,591
89,1696,601,601
90,1696,611,611
91,1696,621,621
92,1696,631,631
93,1696,641,641
94,1696,651,651
95,1312,661,661
96,1696,671,671
97,1696,681,681
98,1696,691,691
99,1696,701,701
100,1888,711,711
101,2240,721,721
102,1984,731,731
103,1856,741,741
104,2176,751,751
105,2048,761,761
106,2080,771,771
107,2464,781,781
108,153088,816,816
109,182720,832,832
110,182688,848,848
111,182112,864,864
112,174592,880,880
113,630080,886,886

Range Index,Elapsed Time, First Event,Last Event
0,27616,4,4
1,1920,25,25
2,1376,31,31
3,1504,37,37
4,1728,43,43
5,1696,49,49
6,1408,55,55
7,1696,61,61
8,1696,67,67
9,1696,73,73
10,1696,79,79
11,1696,85,85
12,1696,91,91
13,1696,97,97
14,1600,103,103
15,1696,109,109
16,1696,115,115
17,1696,121,121
18,3712,127,127
19,1696,133,133
20,1696,139,139
21,1696,145,145
22,1696,151,151
23,1696,157,157
24,1376,163,163
25,1696,169,169
26,1568,175,175
27,1696,181,181
28,1728,187,187
29,1664,193,193
30,1728,199,199
31,1696,205,205
32,1664,211,211
33,1696,217,217
34,1696,223,223
35,1792,229,229
36,1408,235,235
37,1696,241,241
38,1696,247,247
39,1696,253,253
40,1696,259,259
41,1696,265,265
42,1696,271,271
43,1344,277,277
44,21696,283,283
45,1920,289,289
46,3360,295,295
47,1696,301,301
48,1760,307,307
49,2368,313,313
50,1696,319,319
51,2240,325,325
52,1280,331,331
53,1632,337,337
54,1312,343,343
55,1632,349,349
56,5792,355,355
57,1696,361,361
58,1696,367,367
59,1728,373,373
60,1728,379,379
61,1696,385,385
62,1696,391,391
63,1728,397,397
64,1696,403,403
65,1696,409,409
66,1728,415,415
67,1696,421,421
68,1728,427,427
69,1696,433,433
70,1696,439,439
71,1696,445,445
72,1728,451,451
73,1696,457,457
74,1696,463,463
75,1696,469,469
76,1696,475,475
77,1696,481,481
78,1696,487,487
79,1696,493,493
80,1696,499,499
81,1696,505,505
82,1696,511,511
83,147776,517,517
84,125280,523,523
85,4928,525,525
86,40896,549,549
87,22240,558,558
88,1696,591,591
89,1696,601,601
90,1696,611,611
91,1312,621,621
92,2368,631,631
93,2368,641,641
94,1824,651,651
95,2112,661,661
96,2720,671,671
97,1984,681,681
98,2048,691,691
99,2528,701,701
100,2240,711,711
101,2144,721,721
102,1664,731,731
103,2304,741,741
104,1760,751,751
105,1568,761,761
106,2272,771,771
107,2048,781,781
108,1696,816,816
109,62720,832,832
110,55808,848,848
111,57856,864,864
112,59840,880,880
113,2688608,886,886
