HUD frame time nsec:,7058000

Range Index,Elapsed Time, First Event,Last Event
0,26624,4,4
1,2048,25,25
2,1792,31,31
3,1344,37,37
4,1696,43,43
5,1696,49,49
6,1696,55,55
7,1696,61,61
8,1696,67,67
9,1696,73,73
10,1696,79,79
11,1696,85,85
12,1696,91,91
13,1696,97,97
14,1728,103,103
15,1696,109,109
16,1664,115,115
17,1728,121,121
18,1696,127,127
19,1696,133,133
20,1696,139,139
21,1696,145,145
22,1344,151,151
23,1728,157,157
24,1696,163,163
25,1696,169,169
26,1696,175,175
27,1696,181,181
28,3648,187,187
29,1888,193,193
30,1696,199,199
31,1696,205,205
32,1696,211,211
33,450432,217,217
34,1728,223,223
35,10464,229,229
36,1408,235,235
37,1728,241,241
38,1696,247,247
39,1856,253,253
40,1728,259,259
41,1504,265,265
42,1696,271,271
43,1696,277,277
44,399424,283,283
45,1728,289,289
46,1696,295,295
47,1696,301,301
48,1696,307,307
49,1696,313,313
50,1696,319,319
51,1696,325,325
52,1696,331,331
53,1376,337,337
54,1696,343,343
55,1696,349,349
56,1696,355,355
57,1728,361,361
58,1728,367,367
59,1728,373,373
60,1760,379,379
61,1728,385,385
62,1536,391,391
63,1696,397,397
64,1696,403,403
65,1696,409,409
66,1696,415,415
67,1728,421,421
68,1728,427,427
69,1728,433,433
70,1696,439,439
71,1696,445,445
72,1696,451,451
73,1440,457,457
74,1696,463,463
75,1696,469,469
76,1696,475,475
77,1696,481,481
78,1696,487,487
79,1696,493,493
80,1696,499,499
81,1728,505,505
82,1696,511,511
83,104896,517,517
84,125792,523,523
85,5088,525,525
86,137568,553,553
87,1696,585,585
88,1696,595,595
89,1696,605,605
90,1696,615,615
91,1696,625,625
92,1696,635,635
93,1376,645,645
94,1664,655,655
95,1664,665,665
96,1696,675,675
97,1728,685,685
98,1664,695,695
99,1696,705,705
100,1696,715,715
101,1664,725,725
102,1696,735,735
103,1344,745,745
104,1696,755,755
105,1696,765,765
106,1696,775,775
107,1696,810,810
108,1696,826,826
109,15072,842,842
110,17728,858,858
111,18560,874,874
112,3119648,879,879
